Latitude,T2M_mean_C,GLASS_albedo_mean,T2M_slope_C_per_year,GLASS_albedo_slope_per_year
23.75,24.255484,0.24829087,0.032086003604538206,0.0001314024695705584
23.5,24.365189,0.24884039,0.032151157595844006,0.0001363529232222796
23.25,24.506975,0.24911144,0.03205539642565738,0.00013428306007941357
23.0,24.735842,0.24817221,0.03236327408801897,0.00014932621120719412
22.75,24.983757,0.2512735,0.0327434735595827,0.00015375067856943642
22.5,25.215652,0.2546578,0.03267767242602015,0.0001568476965288849
22.25,25.393072,0.25625327,0.03277171246533589,0.00015501270792654182
22.0,25.548073,0.2582416,0.032864583886188015,0.00016477712972909618
21.75,25.648098,0.26301232,0.03332371244187477,0.0001597402667371629
21.5,25.75833,0.26674345,0.03347428017797042,0.00014379489491413765
21.25,25.865068,0.26782462,0.033464161582615067,0.00012528351701094188
21.0,25.946693,0.26987505,0.033470098624906915,0.00013969529001999493
20.75,25.997171,0.27711838,0.03344576739835954,0.00011829077853294819
20.5,26.038485,0.2784666,0.03364517686198895,0.00010425963635561736
20.25,26.06118,0.28122875,0.033983870327890305,0.0001149791765649507
20.0,25.989466,0.28135738,0.03386415003360266,0.00011180455285004789
19.75,25.934376,0.28388903,0.03356291120593674,0.00011053627252866679
19.5,26.011326,0.28591183,0.033585148217266186,0.00011107511501279116
19.25,26.206486,0.28738317,0.03302778034019969,0.00011372605555312865
19.0,26.43295,0.28900057,0.03239060114649488,9.198904790177134e-05
18.75,26.64141,0.29036984,0.032241605623085964,6.80195454026566e-05
18.5,26.845144,0.28241992,0.03150462543252433,5.4767279051390217e-05
18.25,26.997759,0.28141814,0.030964147018074487,3.768824364828028e-05
18.0,27.072712,0.28258124,0.030596588337065817,2.535012386322347e-05
17.75,27.113785,0.28311095,0.030205890076392503,4.341713724216978e-05
17.5,27.040272,0.27945927,0.029801226345401863,7.472652310262556e-05
17.25,27.00786,0.27809045,0.02946856147174799,3.617915232732151e-05
17.0,27.05422,0.27462727,0.028983009475918364,-1.2762686662368034e-05
16.75,27.204329,0.27146742,0.028668854974115747,-2.4450396137215297e-05
16.5,27.355618,0.2678527,0.028218281839860946,-2.3832479568713972e-05
16.25,27.427673,0.269425,0.027743204729628386,-7.4479789854374815e-06
16.0,27.557161,0.27010295,0.027755142284837518,-7.155366763012268e-05
15.75,27.465866,0.26443946,0.02864098076506368,-9.465084645028017e-05
15.5,27.258316,0.25797158,0.028375506700648475,-0.00012073228369539802
15.25,27.094042,0.24729446,0.02819337658149313,-0.00013438490040771787
15.0,27.109823,0.23983772,0.02825674953209463,-0.00013674918740643862
14.75,27.270876,0.2325817,0.028188817768225027,-7.447418561564103e-05
14.5,27.253359,0.22638877,0.02775850988143344,-3.829169018815694e-05
14.25,27.385384,0.21839146,0.027378548145578187,-9.637422189604606e-06
14.0,27.582453,0.21187524,0.026369501169329793,3.201666585394117e-05
13.75,27.755507,0.21019337,0.025631853644100804,5.740947470344466e-05
13.5,27.79542,0.20433003,0.02569397514228178,7.975984892210199e-05
13.25,27.7544,0.20065978,0.025407945343697183,0.00010936305221182039
13.0,27.764067,0.19443412,0.024915355328136535,9.470183038369212e-05
12.75,27.754156,0.18892248,0.024358697227809742,0.00014458642180239703
12.5,27.632282,0.18317486,0.023645648772875078,0.0001795132094208309
12.25,27.52773,0.17896362,0.025098398138448146,0.0002016037251746309
12.0,27.381187,0.17443438,0.026241599657674107,0.00022121380963740814
11.75,27.275919,0.1715531,0.026457534113476313,0.00023675131920095942
11.5,27.282087,0.16663453,0.026353282314582706,0.00025565956274856285
11.25,27.241518,0.16607799,0.0266408929743451,0.0002551506421264232
11.0,26.994303,0.16327956,0.027398966034399147,0.0002789823575488806
10.75,26.825699,0.16388828,0.0280420511414727,0.00031002380172023754
10.5,26.81839,0.16413808,0.027948418473570602,0.00030045714727494605
10.25,26.685934,0.16230646,0.028237181566291087,0.00028995405072751256
10.0,26.559265,0.15823002,0.029122641487437963,0.0002895409984036168
9.75,26.483011,0.15848292,0.03040358078712109,0.0002710313866587951
9.5,26.385069,0.15764807,0.03129355338106187,0.0002798009531199378
9.25,26.337902,0.1553292,0.03243037893691501,0.00029899104015118833
9.0,26.309437,0.15490608,0.03342373391856318,0.0003092917748825308
8.75,26.301067,0.15364864,0.03393409293116831,0.00033371633668547834
8.5,26.295813,0.15145352,0.03425860211914976,0.0003045659422762989
8.25,26.2444,0.14876333,0.0356451420463171,0.0002926166762251978
8.0,26.161978,0.14622086,0.03594171850720822,0.00029851548622469474
7.75,26.057507,0.14632982,0.03722427251970876,0.0003057701616392209
7.5,25.946127,0.14572586,0.037330744552092524,0.0003046469500125245
7.25,25.769247,0.14602989,0.03794098579244739,0.0003002563841109841
7.0,25.662386,0.14575052,0.03839025957047343,0.0002928238363490538
6.75,25.653742,0.14550403,0.03908449896117221,0.0003016258701200433
