Region,DisplayRegion,Year,T2M_C,GLASS_Albedo,ValidPixels,T2M_z,GLASS_z
SiberianTaiga,Siberian taiga,2023,-2.8477928996986424,0.26512893368109275,26787,0.6138979215480711,-0.22375528253507396
SiberianTaiga,Siberian taiga,2024,-2.402771808945219,0.2705751941374452,26787,1.189304626035746,0.7952501645037553
Greenland,Greenland,2001,-18.296456800531054,0.7171191566861285,10517,-0.439210620670266,0.8468885344339674
Greenland,Greenland,2002,-18.03027383185635,0.7141577754972582,10517,-0.11840678246035782,0.6065423136353693
Greenland,Greenland,2003,-17.429446462951034,0.7077587238681756,10517,0.6057106432564491,0.08719415220132662
Greenland,Greenland,2004,-18.275959360688454,0.7139816112356897,10517,-0.41450709659537,0.5922447910243328
Greenland,Greenland,2005,-17.251957541465067,0.7103215044822615,10517,0.8196203743558077,0.2951898798862308
Greenland,Greenland,2006,-18.282709737318015,0.7186218107635318,10517,-0.4226426536631562,0.9688442049936501
Greenland,Greenland,2007,-18.460458380790385,0.7144936510536355,10517,-0.636865401821872,0.6338020331666798
Greenland,Greenland,2008,-18.40237806787432,0.7132961288642986,10517,-0.5668669815597693,0.5366109205833698
Greenland,Greenland,2009,-18.989405228369815,0.7171363223391656,10517,-1.274352389653477,0.8482817018689855
Greenland,Greenland,2010,-15.91154700888509,0.706321399612355,10517,2.4350837744734357,-0.029459338489766677
Greenland,Greenland,2011,-19.140433554118484,0.7133344969808224,10517,-1.4563717984076083,0.5397248837031173
Greenland,Greenland,2012,-17.42764002053264,0.7044801928176128,10517,0.607887768503086,-0.17889200743766778
Greenland,Greenland,2013,-18.727389357882004,0.7196697260670509,10517,-0.9585707401253204,1.0538931962766396
Greenland,Greenland,2014,-18.085157708017675,0.716235312641875,10517,-0.1845528556522452,0.775155595557325
Greenland,Greenland,2015,-19.604909037733023,0.7188814404056724,10517,-2.016157868267107,0.9899157926468352
Greenland,Greenland,2016,-16.572266367303456,0.7083642171629307,10517,1.6387844950134058,0.13633609504212782
